name,molweight,critical temperature (K),acentric factor,boiling point (K)
"1,1-dibromohexadecane",384.23808,808.08,0.889,639.15
"1,1-dibromohexane",243.96928,684.21,0.526,475.15
"1,1-dibromononadecane",426.31872,837.69,0.912,675.15
"1,1-dibromononane",286.04992,729.44,0.659,533.15
"1,1-dibromooctadecane",412.29184,828.45,0.911,664.15
"1,1-dibromooctane",272.02304,716.02,0.616,515.15
"1,1-dibromopentacosane",510.48,901.35,0.75,736.15
"1,1-dibromopentadecane",370.2112,798.14,0.869,626.15
"1,1-dibromopentane",229.9424,665.55,0.48,453.15
"1,1-dibromopropane",201.88864,624.11,0.39,406.65
"1,1-dibromotetracosane",496.45312,889.11,0.796,726.15
"1,1-dibromotetradecane",356.18432,787.47,0.843,612.15
"1,1-dibromotricosane",482.42624,878.87,0.835,717.15
"1,1-dibromotridecane",342.15744,777.32,0.813,598.15
"1,1-dibromoundecane",314.10368,754.56,0.741,567.15
"1,1-dichloro-1,2,2,2-tetrafluoroethane",170.9210128,418.55,0.253,276.17
"1,1-dichloro-1,2,2-trifluoroethane",152.9305496,481.32,0.287,303
"1,1-dichloro-1,2-difluoroethane",134.9400864,488.39,0.264,315.33
"1,1-dichloro-1-fluoroethane",116.9496232,478.85,0.221,305.15
"1,1-dichloro-2,2-difluoroethane",134.9400864,515.98,0.112,333.15
"1,1-dichloro-2,2-dimethylpropane",141.0398,633.42,0.262,418
"1,1-dichloro-2-butene",124.99704,640,0.302,399.15
"1,1-dichloro-2-fluoroethane",116.9496232,473.24,0.272,305
"1,1-dichloro-2-methyl-1-propene",124.99704,640,0.302,381.65
"1,1-dichloro-2-methylbutane",141.0398,595.96,0.323,400
"1,1-dichloro-2-methylpropane",127.01292,576.09,0.278,378.15
"1,1-dichloro-3,3-dimethylbutane",155.06668,633.09,0.397,421.1
"1,1-dichloro-3-methylbutane",141.0398,600.06,0.323,402.75
"1,1-dichlorobutane",127.01292,584.34,0.308,386.95
"1,1-dichlorodecane",211.1742,704.32,0.57,520.15
"1,1-dichlorodocosane",379.49676,846.62,0.754,689.15
"1,1-dichlorododecane",239.22796,733.47,0.647,556.15
"1,1-dichloroeicosane",351.443,825.11,0.785,667.15
"1,1-dichloroethane",98.95916,523,0.234,330.45
"1,1-dichloroethylene",96.94328,482,0.272,304.71
"1,1-dichloroheneicosane",365.46988,835.53,0.773,678.15
"1,1-dichloroheptadecane",309.36236,792.59,0.776,630.15
"1,1-dichloroheptane",169.09356,654.02,0.442,460.15
"1,1-dichlorohexadecane",295.33548,782.08,0.76,617.15
"1,1-dichlorohexane",155.06668,633.09,0.397,437.15
"1,1-dichlorononadecane",337.41612,814.08,0.789,655.15
"1,1-dichlorononane",197.14732,688.79,0.528,501.15
"1,1-dichlorooctadecane",323.38924,803.67,0.786,643.15
"1,1-dichlorooctane",183.12044,672.06,0.485,481.15
"1,1-dichloropentadecane",281.3086,770.83,0.738,603.15
"1,1-dichloropentane",141.0398,610.24,0.352,412.95
"1,1-dichloropropane",112.98604,560,0.253,361.25
"1,1-dichloropropene",110.97016,577,0.206,349.65
"1,1-dichlorotetradecane",267.28172,758.8,0.712,588.15
"1,1-dichlorotricosane",393.52364,857.18,0.728,699.15
"1,1-dichlorotridecane",253.25484,745.93,0.681,572.15
"1,1-dichloroundecane",225.20108,720.08,0.61,539.15
"1,1-dicyclohexylbutane",222.4142,768.14,0.512,566.12
"1,1-dicyclohexyldecane",306.57548,812.16,0.702,640.15
"1,1-dicyclohexyldodecane",334.62924,825.63,0.729,660.15
"1,1-dicyclohexylethane",194.36044,762.12,0.429,544.32
"1,1-dicyclohexylheptane",264.49484,790.2,0.623,605.15
"1,1-dicyclohexylhexadecane",390.73676,856.76,0.704,697.15
"1,1-dicyclohexylhexane",250.46796,783.63,0.589,593.15
"1,1-dicyclohexylnonane",292.5486,805.09,0.68,629.15
"1,1-dicyclohexyloctane",278.52172,797.35,0.653,617.15
"1,1-dicyclohexylpentadecane",376.70988,848.27,0.721,688.15
"1,1-dicyclohexylpentane",236.44108,776.31,0.551,580.15
"1,1-dicyclohexylpropane",208.38732,766.86,0.471,556.71
"1,1-dicyclohexyltetradecane",362.683,840.47,0.731,679.15
"1,1-dicyclohexyltridecane",348.65612,833.34,0.734,670.15
"1,1-dicyclohexylundecane",320.60236,818.57,0.719,650.15
"1,1-diethylcyclohexane",140.2688,643,0.404,449.82
"1,1-diethylcyclopentane",126.24192,624.67,0.321,423.65
"1,1-difluoro-2,2-dimethylpropane",108.1312064,467.07,0.261,308.67
"1,1-difluoro-2-methylbutane",108.1312064,463.41,0.321,311.46
"1,1-difluoro-2-methylpropane",94.1043264,465.72,0.277,306.15
"1,1-difluoro-3-methylbutane",108.1312064,463.41,0.321,311.46
"1,1-difluorobutane",94.1043264,463.3,0.367,314.15
"1,1-difluorodecane",178.2656064,622,0.512,456.15
"1,1-difluorodocosane",346.5881664,766.65,0.748,624.15
"1,1-difluorododecane",206.3193664,656.9,0.557,492.15
"1,1-difluoroeicosane",318.5344064,754,0.687,603.15
"1,1-difluoroethane",66.0505664,386.44,0.275,249.13
"1,1-difluoroethylene",64.0346864,302.8,0.136,187.5
"1,1-difluoroheneicosane",332.5612864,756.52,0.768,614.15
"1,1-difluoroheptadecane",276.4537664,723.6,0.643,566.15
"1,1-difluoroheptane",136.1849664,556.1,0.433,392.85
"1,1-difluorohexadecane",262.4268864,712.1,0.633,553.15
"1,1-difluorohexane",122.1580864,529,0.401,368.15
"1,1-difluorononadecane",304.5075264,744.5,0.67,591.15
"1,1-difluorononane",164.2387264,602.2,0.483,436.15
"1,1-difluorooctadecane",290.4806464,734.4,0.662,579.15
"1,1-difluorooctane",150.2118464,580.3,0.456,415.15
"1,1-difluoropentadecane",248.4000064,699.8,0.619,539.15
"1,1-difluoropentane",108.1312064,498.4,0.38,342.15
"1,1-difluoropropane",80.0774464,430,0.276,281.15
"1,1-difluorotetradecane",234.3731264,686.6,0.595,524.15
"1,1-difluorotricosane",360.6150464,778.63,0.721,635.15
"1,1-difluorotridecane",220.3462464,672.3,0.586,509.15
"1,1-difluoroundecane",192.2924864,640.2,0.541,475.15
"1,1-diiodo-2,2-dimethylpropane",323.94334,759.04,0.242,496.41
"1,1-diiodo-2-methylbutane",323.94334,750.13,0.302,499.2
"1,1-diiodo-2-methylpropane",309.91646,732.32,0.258,476.32
"1,1-diiodo-3-methylbutane",323.94334,750.13,0.302,499.2
"1,1-diiodobutane",309.91646,726.41,0.287,476.76
"1,1-diiododecane",394.07774,836.2,0.55,614.04
"1,1-diiodododecane",422.1315,874.36,0.629,659.8
"1,1-diiodoethane",281.8627,723.89,0.199,452.15
"1,1-diiodoheptadecane",492.2659,976.52,0.767,774.2
"1,1-diiodoheptane",351.9971,780.77,0.421,545.4
"1,1-diiodohexadecane",478.23902,955.15,0.748,751.32
"1,1-diiodohexane",337.97022,762.6,0.376,522.52
"1,1-diiodononane",380.05086,817.53,0.508,591.16
"1,1-diiodooctadecane",506.29278,998.46,0.779,797.08
"1,1-diiodooctane",366.02398,799.06,0.465,568.28
"1,1-diiodopentadecane",464.21214,934.29,0.725,728.44
"1,1-diiodopentane",323.94334,744.5,0.332,499.64
"1,1-diiodopropane",295.88958,708.27,0.243,453.88
"1,1-diiodotetradecane",450.18526,913.9,0.697,705.56
"1,1-diiodotridecane",436.15838,893.94,0.664,682.68
"1,1-diiodoundecane",408.10462,855.13,0.591,636.92
"1,1-dimethyl-2-ethylcyclopentane",126.24192,607.98,0.296,411.15
"1,1-dimethyl-3-ethylcyclopentane",126.24192,602.06,0.296,407.15
"1,1-dimethylbutyl acetate",144.21384,618,0.54,426.15
"1,1-dimethylcyclobutane",84.16128,514.04,0.218,329.15
"1,1-dimethylcyclohexane",112.21504,591.15,0.233,392.7
"1,1-dimethylcyclopentane",98.18816,547,0.272,361
"1,1-dimethylcyclopropane",70.1344,464.97,0.204,293.78
"1,1-dimethylpropyl 3-methylbutanoate",172.2676,657.2,0.474,446.65
"1,1-dimethylpropyl butanoate",158.24072,603,0.901,460.31
"1,1-dimethylpropyl formate",116.16008,570,0.351,385.65
"1,1-dimethylpropyl propanoate",144.21384,589,0.749,437.43
"1,1-dimethylpropylamine",87.16496,526,0.32,350.15
"1,1-diphenyl-1-butene",208.30304,790.85,0.509,567.85
"1,1-diphenyl-1-decene",292.46432,843.78,0.733,655.15
"1,1-diphenyl-1-dodecene",320.51808,856.93,0.78,677.15
"1,1-diphenyl-1-heptene",250.38368,817.04,0.632,613.15
"1,1-diphenyl-1-hexadecene",376.6256,881.36,0.8,713.15
"1,1-diphenyl-1-hexene",236.3568,803.6,0.593,594.95
"1,1-diphenyl-1-nonene",278.43744,835.6,0.703,642.15
"1,1-diphenyl-1-octene",264.41056,828.02,0.669,629.15
"1,1-diphenyl-1-pentadecene",362.59872,875.43,0.805,705.15
"1,1-diphenyl-1-pentene",222.32992,797.63,0.552,581.91
"1,1-diphenyl-1-propene",194.27616,796.49,0.465,562.15
"1,1-diphenyl-1-tetradecene",348.57184,868.99,0.804,696.15
"1,1-diphenyl-1-tridecene",334.54496,863.24,0.795,687.15
"1,1-diphenyl-1-undecene",306.4912,850.03,0.759,666.15
"1,1-diphenylbutane",210.31892,778.3,0.452,557.44
"1,1-diphenyldecane",294.4802,822,0.695,634.15
"1,1-diphenyldodecane",322.53396,832.8,0.83,659.15
"1,1-diphenylethane",182.26516,775,0.457,545.78
"1,1-diphenylethene",180.24928,791.64,0.431,550.25
"1,1-diphenylheptane",252.39956,802.7,0.662,607.15
"1,1-diphenylhexadecane",378.64148,850.1,0.958,691.15
"1,1-diphenylhexane",238.37268,794.4,0.625,594.18
